,budget,genre,imdb_score,index,movie_title
117,55000000.0,Drama,7.9,117,Captain Phillips
118,35000000.0,Drama,7.7,118,Creed
119,5000000.0,Drama,8.0,119,Dallas Buyers Club
120,170000000.0,Drama,7.6,120,Dawn of the Planet of the Apes
121,100000000.0,Drama,8.5,121,Django Unchained
122,15000000.0,Drama,7.8,122,Drive
123,7000000.0,Drama,7.7,123,End of Watch
124,15000000.0,Drama,7.7,124,Ex Machina
125,14000000.0,Drama,7.7,125,Flipped
126,68000000.0,Drama,7.6,126,Fury
127,61000000.0,Drama,8.1,127,Gone Girl
128,100000000.0,Drama,7.8,128,Gravity
129,23000000.0,Drama,8.0,129,Her
130,170000000.0,Drama,7.5,130,Hugo
131,165000000.0,Drama,8.6,131,Interstellar
132,40000000.0,Drama,7.6,132,Lone Survivor
133,50000000.0,Drama,7.6,133,Moneyball
134,16000000.0,Drama,7.8,134,Moonrise Kingdom
135,12000000.0,Drama,7.8,135,Nebraska
136,8500000.0,Drama,7.9,136,Nightcrawler
137,12000000.0,Drama,7.6,137,Philomena
138,46000000.0,Drama,8.1,138,Prisoners
139,93000000.0,Drama,7.6,139,Rise of the Planet of the Apes
140,38000000.0,Drama,8.1,140,Rush
141,30000000.0,Drama,7.6,141,Sicario
142,21000000.0,Drama,7.8,142,Silver Linings Playbook
143,20000000.0,Drama,8.1,143,Spotlight
144,28000000.0,Drama,7.9,144,Straight Outta Compton
145,15000000.0,Drama,8.0,145,The Artist
146,28000000.0,Drama,7.8,146,The Big Short
147,19000000.0,Drama,7.6,147,The Book Thief
148,12000000.0,Drama,7.8,148,The Fault in Our Stars
149,25000000.0,Drama,7.9,149,The Fighter
150,90000000.0,Drama,7.8,150,The Girl with the Dragon Tattoo
151,25000000.0,Drama,8.1,151,The Grand Budapest Hotel
152,25000000.0,Drama,8.1,152,The Help
153,14000000.0,Drama,8.1,153,The Imitation Game
154,15000000.0,Drama,8.0,154,The King's Speech
155,81200000.0,Drama,7.8,155,The Little Prince
156,108000000.0,Drama,8.1,156,The Martian
157,13000000.0,Drama,8.0,157,The Perks of Being a Wallflower
158,135000000.0,Drama,8.1,158,The Revenant
159,40000000.0,Drama,7.7,159,The Social Network
160,15000000.0,Drama,7.7,160,The Theory of Everything
161,37000000.0,Drama,7.6,161,The Town
162,38000000.0,Drama,7.7,162,True Grit
163,25000000.0,Drama,8.2,163,Warrior
164,3300000.0,Drama,8.5,164,Whiplash
165,44500000.0,Action,7.7,165,Argo
