Action,31
Adventure,35
Animation,10
Biography,17
Comedy,21
Crime,10
Drama,59
Family,1
Fantasy,4
History,4
Horror,1
Music,1
Mystery,6
Romance,12
Sci-Fi,17
Sport,3
Thriller,13
War,2
Western,2
