,movie_title,avg_rating,total_votes,genre1,genre2,genre3,#_10s,#_9s,#_8s,#_7s,#_6s,#_5s,#_4s,#_3s,#_2s,#_1s,#_male_votes,#_female_votes,#_u18,#_u18m,#_u18f,#_18-29,#_18-29m,#_18-29f,#_30-44,#_30-44m,#_30-44f,#_a45,#_a45m,#_a45f,#_votes_top1000users,#_votes_inUS,#_votes_notUS,avgr_male,avgr_female,avgr_u18,avgr_u18m,avgr_u18f,avgr_18-29,avgr_18-29m,avgr_18-29f,avgr_30-44,avgr_30-44m,avgr_30-44f,avgr_a45,avgr_a45m,avgr_a45f,avgr_imdbstaff,avgr_top1000users,avgr_US_users,avgr_notUD_users,director_name,actor_2_name,gross,actor_1_name,#_voted_users,actor_3_name,language,country,budget,title_year,imdb_score
11,Bridge of Spies,7.6,"223,756",Drama,History,Thriller,15757,32840,83322,63800,19183,5178,1657,735,419,878,152707,23978,846,732,104,76784,64810,11177,70780,61525,8196,18494,15504,2667,545,24273,105678.0,7.6,7.6,7.9,7.9,7.8,7.7,7.7,7.6,7.5,7.5,7.5,7.7,7.6,7.9,7.7,7.4,7.7,7.5,Steven Spielberg,Mark Rylance,72306065.0,Tom Hanks,178118,Amy Ryan,English,USA,40000000.0,2015.0,7.6
12,Captain America: Civil War,7.9,"431,555",Action,Adventure,Sci-Fi,81893,90156,117188,79377,32782,12322,5095,2994,1989,7786,264239,43818,3572,2865,683,148991,124124,23355,105069,91345,12135,19151,16351,2459,593,48777,153638.0,7.8,7.9,8.3,8.3,8.6,8.0,8.0,8.0,7.7,7.7,7.8,7.6,7.6,7.9,7.7,7.5,8.1,7.7,Anthony Russo,Scarlett Johansson,407197282.0,Robert Downey Jr.,272670,Chris Evans,English,USA,250000000.0,2016.0,8.2
13,Captain America: The Winter Soldier,7.8,"552,706",Action,Adventure,Sci-Fi,84943,103896,169440,120197,44124,14639,5571,2735,1932,5248,360615,66751,3765,2900,844,208526,170111,36456,150264,129500,18637,28922,24313,4103,720,72120,213180.0,7.7,7.9,8.3,8.2,8.5,7.8,7.8,7.9,7.6,7.6,7.7,7.7,7.6,7.8,7.6,7.5,8.1,7.5,Anthony Russo,Chris Evans,259746958.0,Scarlett Johansson,496749,Hayley Atwell,English,USA,170000000.0,2014.0,7.8
14,Captain Phillips,7.8,"350,818",Biography,Drama,Thriller,37461,70216,133266,76657,21791,6099,2051,1062,707,1517,247889,41602,995,838,147,131052,110723,19092,114418,98191,14686,24670,20178,4053,633,43042,165981.0,7.8,7.9,8.2,8.2,8.1,8.0,8.0,7.9,7.7,7.7,7.8,7.7,7.7,8.0,8.0,7.4,7.8,7.8,Paul Greengrass,Chris Mulkey,107100855.0,Tom Hanks,323353,Michael Chernus,English,USA,55000000.0,2013.0,7.9
15,Creed,7.6,"179,795",Drama,Sport,,21364,28964,58237,45563,16432,5118,1655,848,464,1151,126214,13323,888,811,72,61826,55428,5778,56944,51344,4828,10691,9142,1369,474,25287,75302.0,7.6,7.5,8.3,8.3,8.1,7.8,7.8,7.6,7.4,7.4,7.4,7.3,7.3,7.5,7.8,7.1,7.9,7.5,Ryan Coogler,Phylicia Rashad,109712885.0,Sylvester Stallone,146708,Graham McTavish,English,USA,35000000.0,2015.0,7.7
16,Dallas Buyers Club,8.0,"357,641",Biography,Drama,,37544,82276,145488,66156,16777,4582,1721,870,654,1588,231258,63266,864,650,205,145018,110493,32974,110555,88233,20687,22093,16963,4743,598,42222,173002.0,7.9,8.1,8.2,8.2,8.1,8.1,8.1,8.1,7.8,7.8,8.0,7.8,7.8,8.0,7.9,7.2,8.0,7.9,Jean-Marc Vallée,Jennifer Garner,27296514.0,Matthew McConaughey,326494,Denis O'Hare,English,USA,5000000.0,2013.0,8.0
17,Dawn of the Planet of the Apes,7.6,"349,646",Action,Adventure,Drama,37605,58021,112652,84789,33747,11561,4734,2392,1470,2707,250421,32032,1720,1468,236,128574,111856,15469,110394,98110,10765,21701,18794,2510,649,42877,154981.0,7.6,7.5,8.0,8.0,7.9,7.7,7.8,7.5,7.5,7.5,7.4,7.4,7.4,7.4,7.2,7.4,7.8,7.5,Matt Reeves,Judy Greer,208543795.0,Gary Oldman,317542,Kodi Smit-McPhee,English,USA,170000000.0,2014.0,7.6
18,Deadpool,8.0,"652,127",Action,Adventure,Comedy,147467,147966,170810,105717,41811,15510,7046,4273,3037,8538,391955,79804,4598,3601,969,232840,186139,44316,159222,135428,21521,28753,24218,4009,667,67933,241138.0,8.0,8.1,8.4,8.4,8.6,8.1,8.1,8.1,7.9,7.9,7.9,7.8,7.8,7.9,8.0,7.3,8.1,7.9,Tim Miller,Ed Skrein,363024263.0,Ryan Reynolds,479047,Stefan Kapicic,English,USA,58000000.0,2016.0,8.1
19,Despicable Me,7.7,"417,592",Animation,Adventure,Comedy,56474,66298,136943,102534,35207,11448,4000,1862,1024,1825,251408,91545,2241,1523,700,179397,122880,54800,123041,95843,25612,21471,16853,4293,721,57957,196751.0,7.6,8.0,7.7,7.6,7.9,7.8,7.7,8.1,7.6,7.5,7.9,7.6,7.5,7.9,7.4,7.0,7.6,7.6,Pierre Coffin,Miranda Cosgrove,251501645.0,Steve Carell,385943,Jack McBrayer,English,USA,69000000.0,2010.0,7.7
20,Django Unchained,8.4,"1,056,822",Drama,Western,,234824,339329,286911,121445,38251,14227,6469,4149,3181,8065,695211,139226,3250,2726,501,410538,332690,74006,301231,253253,43774,57463,47535,8962,816,123423,448126.0,8.4,8.4,8.8,8.9,8.5,8.6,8.6,8.5,8.3,8.3,8.3,8.0,8.0,8.1,8.0,7.8,8.4,8.4,Quentin Tarantino,Christoph Waltz,162804648.0,Leonardo DiCaprio,955174,Ato Essandoh,English,USA,100000000.0,2012.0,8.5
